עבודה,מדגם,תאריך קבלה,תאריך דיגום,תאריך סיום,שם חומר,אזור,ישוב,מגדל,חלקה,חלק חומר,בור,עומק ישן,עומק מ-,עומק עד,גידול,זן,כנה,הערת מדגם,רוויה %,pH,מוליכות חשמ. dS/m,"כלוריד מא""ק/ל'","נתרן מא""ק/ל'","סידן+מגניון מא""ק/ל'",--,--,SAR,--,גיר כללי %,גיר פעיל %,--,חול %,סילט %,חרסית %,מרקם קוד,--,--,"קק""ח מאק/100ג'","ESP % מ-קק""ח",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-
28812,10794,13/07/2017,13/07/2017,19/07/2017,קרקע ומצעים,עמק הירדן,בית זרע,"אבוקדו שניעצים אגש""ח",חלקה 71,קרקע,1,1,0,30,אבוקדו,,,,47.1,7.6,0.94,2.88,5.44,4.98,,,3.45,,16.765,,,54,17.2,28.8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28812,10795,13/07/2017,13/07/2017,19/07/2017,קרקע ומצעים,עמק הירדן,בית זרע,"אבוקדו שניעצים אגש""ח",חלקה 71,קרקע,2,1,0,30,אבוקדו,,,,51.68,7.6,0.56,1.3,2.667,3.46,,,2.03,,12.896,,,54,15.2,30.8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28812,10796,13/07/2017,13/07/2017,19/07/2017,קרקע ומצעים,עמק הירדן,בית זרע,"אבוקדו שניעצים אגש""ח",חלקה 71,קרקע,3,2,30,40,אבוקדו,,,,34.11,7.5,0.71,2.1,3.778,3.56,,,2.83,,8.382,,,82,3.2,14.8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28812,10797,13/07/2017,13/07/2017,19/07/2017,קרקע ומצעים,עמק הירדן,בית זרע,"אבוקדו שניעצים אגש""ח",חלקה 71,קרקע,4,1,0,30,אבוקדו,,,,56.8,7.6,0.56,1.22,3.333,3.08,,,2.69,,24.18,4.18,,50,15.2,34.8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28812,10798,13/07/2017,13/07/2017,19/07/2017,קרקע ומצעים,עמק הירדן,בית זרע,"אבוקדו שניעצים אגש""ח",חלקה 71,קרקע,5,2,30,45,אבוקדו,,,,67.18,7.6,0.61,1.66,3.778,2.6,,,3.31,,43.524,14.65,,46,7.2,46.8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
